file;general;race;class;anim;deathvar;dialog;level;gender;sex;allegiance;overrideScript;classScript;raceScript;generalScript;defaultScript;helmet;shield;lring;rring;amulet;weapon1;weapon2;weapon3;weapon4;xpv;origin;name
BPKRANC2;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN;BPKRANKO;BPKRANCO;7;MALE;MALE;NEUTRAL;BPSIGHT;OHGN01;BPFGBA01;;None;;;;;;AX1H02;;;;0;bg1;Krancor the Old
BPKRANCO;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN;bpkranco;BPKRANCO;7;MALE;MALE;NEUTRAL;;;;None;None;;;;;;AX1H02;;;;0;bg1;Krancor the Old
BPLIHP;HUMANOID;HALF_ELF;RANGER;FIGHTER_MALE_ELF;BPLIHP;;3;MALE;MALE;NEUTRAL;BPSIGHT;OHGN01;BPFGAR01;;;;;;;;;SW1H07;BOW02;;0;bg1;Lihp
BPLLYRK;HUMANOID;HUMAN;MAGE;MAGE_MALE_HUMAN;BPLLYRK;;3;MALE;MALE;ENEMY;BPSIGHT;LLYRK;None;;;;;;;;STAF01;;;;0;bg1;Llyrk
BPMAGDA;GIANTHUMANOID;DUERGAR;CLERIC;CLERIC_FEMALE_DWARF;BPMAGDA;BPMAGDA;5;FEMALE;FEMALE;NEUTRAL;BPHUBA;None;None;None;BPASIGHT;;;;;;;;;;5000;bg1;Magda
BPMPAR01;HUMANOID;MEPHIT;MEPHIT;IMP;BPMPAR01;;3;NIETHER;MALE;ENEMY;BPSIGHT;None;None;None;MEPAIR;;;REGHP1;MOVRAT10;IMMCLOUD;S1-3;;;;0;bg1;Air Mephit
BPMPDU01;HUMANOID;MEPHIT;MEPHIT;IMP;BPMPDU01;;3;NIETHER;MALE;ENEMY;BPSIGHT;None;None;None;MEPDUS;;;REGHP1;MOVRAT10;IMMCLOUD;S1-2;;;;0;bg1;Dust Mephit
BPMPEA01;HUMANOID;MEPHIT;MEPHIT;IMP;BPMPEA01;;3;NIETHER;MALE;ENEMY;BPSIGHT;;None;None;MEPEAR;;;;;IMMCLOUD;B1-4;;;;0;bg1;Earth Mephit
BPMPFI01;HUMANOID;MEPHIT;MEPHIT;IMP;BPMPFI01;;3;NIETHER;MALE;ENEMY;BPSIGHT;None;None;None;MEPFIR;;;;;IMMCLOUD;MEPFIR;;;;0;bg1;Fire Mephit
BPMPIC01;HUMANOID;MEPHIT;MEPHIT;IMP;BPMPIC01;;3;NIETHER;MALE;ENEMY;BPSIGHT;None;None;None;MEPICE;;;;;IMMCLOUD;MEPICE;;;;0;bg1;Ice Mephit
BPNAJIM;GIANTHUMANOID;GENIE;GENIE_EFREETI;DJINNI_LEGS;BPNAJIM;BPNAJIM;5;SUMMONED;MALE;NEUTRAL;BPHUBA;None;None;;BPASIGHT;;;;;MINHP1;B3-24;;;;8000;bg1;Najim
BPNERTT;HUMANOID;HALFORC;FIGHTER;FIGHTER_MALE_HALFORC;BPNERTT;;3;MALE;MALE;NEUTRAL;BPSIGHT;OHGN01;BPFGTK01;;;;;;;;;;;SW2H02;0;bg1;Nertt
BPOGMA01;GIANTHUMANOID;OGRE;OGRE_MAGE;OGRE_MAGE;BPOGMA01;;5;NIETHER;MALE;ENEMY;BPSIGHT;None;None;BPASIGHT;dw#mg30;;;;;;;;;;0;bg1;Ogre Mage
BPOGRE01;GIANTHUMANOID;OGRE;OGRE;OGRE;Ogre;;4;NIETHER;MALE;ENEMY;BPSIGHT;None;;BPASIGHT;dw1melge;;;;;;B1-2;;;;0;bg1;Ogre
BPORTAL1;HUMANOID;HUMAN;MAGE;BLOB_MIST_CREATURE;BPORTAL;None;0;MALE;MALE;ENEMY;;BPPORTL;None;None;None;;;;;;;;;;0;bg1;Mysterious Portal
BPORTAL2;HUMANOID;HUMAN;MAGE;DOOM_GUARD;BPORTAL;None;0;MALE;MALE;ENEMY;BPSIGHT;BPPORTL;None;None;None;;;;;;;;;;0;bg1;Mysterious Portal
BPORTAL3;HUMANOID;HUMAN;MAGE;DOOM_GUARD;BPORTAL;None;0;MALE;MALE;ENEMY;BPSIGHT;BPPORTL;None;None;None;;;;;;;;;;0;bg1;Mysterious Portal
BPORTAL4;HUMANOID;HUMAN;MAGE;DOOM_GUARD;BPORTAL;None;0;MALE;MALE;ENEMY;BPSIGHT;BPPORTL;None;None;None;;;;;;;;;;0;bg1;Mysterious Portal
BPORTAL5;HUMANOID;HUMAN;MAGE;DOOM_GUARD;BPORTAL;None;0;MALE;MALE;ENEMY;BPSIGHT;BPPORTL;None;None;None;;;;;;;;;;0;bg1;Mysterious Portal
BPOWY2;HUMANOID;GNOME;CLERIC;CLERIC_MALE_GNOME;BPOWYN;BPOWYN;7;MALE;MALE;ENEMY;BPSIGHT;OHGN01;OHPRDD01;None;None;;;;;;BLUN04;;;;0;bg1;Owyn
BPOWYN;HUMANOID;GNOME;CLERIC;CLERIC_MALE_GNOME;BPOWYN;BPOWYN;7;MALE;MALE;NEUTRAL;;;;None;None;;;;;;BLUN04;;;;0;bg1;Owyn
BPREFF01;HUMANOID;PLATE;LONG_SWORD;BIRD;BPREFF01;None;1;NIETHER;MALE;ALLY;BPGARB;None;None;None;None;;;;MAGE01;IMOENHP1;;;;;0;bg1;Referee
BPREGINA;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN;BPREGINA;;3;MALE;MALE;ENEMY;BPSIGHT;OHGN01;BPFGTK01;;None;HELM01;SW1H43;;;;SW1H43;;;;0;bg1;Reginald
BPREVE01;UNDEAD;GHOUL;GHOUL_REVEANT;REVENANT;BPREVE01;;8;NIETHER;MALE;NEUTRAL;BPSIGHT;;None;None;BPSKEL;;;IMMUNE1;RING95;;REVENT1;REVENT2;;;0;bg1;Revenant
BPSAMJO2;HUMANOID;ELF;THIEF;THIEF_MALE_ELF;BPSAMJOH;;8;MALE;MALE;ENEMY;BPSIGHT;OHGN01;BPFGBA01;;None;;;;;;SW1H44;;;;0;bg1;SamJohn BrightWalker
BPSAMJOH;HUMANOID;ELF;THIEF;THIEF_MALE_ELF;BPSAMJOH;BPSAMJOH;8;MALE;MALE;NEUTRAL;;;;None;None;;;;;;SW1H44;;;;0;bg1;SamJohn BrightWalker
BPSHADOW;UNDEAD;SHADOW;SHADOW;SHADOW;BPSHADOW;None;4;NIETHER;NIETHER;ENEMY;BPSIGHT;None;None;None;BPASIGHT;;;IMMUNE1;RING95;;S1-8;;;;0;bg1;Shadow
BPSHAMB;MONSTER;SHAMBLING_MOUND;NO_CLASS;SHAMBLING_MOUND;BPENEMY ;;12;SUMMONED;MALE;ENEMY;BPSIGHT;None;BPFHT;None;None;;;IMMUNE2;;;B4-32M4;;;;0;bg1;Shambling Mound
BPSKEL;UNDEAD;SKELETON;SKELETON;SKELETON;BPSKEL;;1;MALE;MALE;NEUTRAL;BPSIGHT;BPSKEL;None;None;;;;RING99;;;SW1H04;;;;0;bg1;Crumbling Skeleton
BPSLFS01;MONSTER;HUMAN;MUSTARD_JELLY;SLIME_MUSTARD;BPSLFS01;;7;MALE;MALE;ENEMY;BPSIGHT;BPSLIFIS;;None;BPASIGHT;;;IMMUNE1;RING95;;JELLMU2;;;;0;bg1;Fission Slime
BPSLFS02;MONSTER;HUMAN;MUSTARD_JELLY;SLIME_MUSTARD;BPSLFS01;;7;MALE;MALE;ENEMY;BPSIGHT;BPSLIFIS;;None;BPASIGHT;;;IMMUNE1;RING95;;JELLMU2;;;;0;bg1;Fission Slime
BPSPID01;MONSTER;SPIDER;SPIDER_HUGE;SPIDER_SMALL;BPSPID01;;5;NIETHER;MALE;ENEMY;BPSIGHT;None;None;None;BPASIGHT;;;;;ANTIWEB;SPIDSW1;;;;0;bg1;Spider
BPSPID02;MONSTER;SPIDER;SPIDER_GIANT;SPIDER_GIANT;BPSPID02;;4;NIETHER;MALE;ENEMY;BPSIGHT;None;BPASIGHT;;None;;;;;ANTIWEB;SPIDGI1;;;;0;bg1;Giant Spider
BPSPID03;MONSTER;SPIDER;SPIDER_SWORD;SPIDER_SWORD;BPSPID03;;5;NIETHER;MALE;ENEMY;BPSIGHT;None;None;None;BPASIGHT;;;;;ANTIWEB;SPIDSW1;;;;0;bg1;Sword Spider
BPSPY01;HUMANOID;PLATE;LONG_SWORD;BIRD;BPSPY01;None;1;NIETHER;MALE;NEUTRAL;;None;None;None;None;;;;MAGE01;IMOENHP1;;;;;0;bg1;
BPSPY02;HUMANOID;PLATE;LONG_SWORD;BIRD;BPSPY02;None;1;NIETHER;MALE;NEUTRAL;;None;None;None;None;;;;MAGE01;IMOENHP1;;;;;0;bg1;
BPTASL01;HUMANOID;KOBOLD;KOBOLD_TASLOI;KOBOLD_TASLOI;BPTASL01;;1;MALE;MALE;ENEMY;BPSIGHT;None;None;None;BPASIGHT;;;;;;S1-2;;;;0;bg1;Tasloi
BPTASL02;HUMANOID;KOBOLD;KOBOLD_TASLOI;KOBOLD_TASLOI;BPTASL02;;1;MALE;MALE;ENEMY;BPSIGHT;None;None;None;BPASIGHT;;;;;;S1-2;;;;0;bg1;Tasloi
BPTASL03;HUMANOID;KOBOLD;KOBOLD_TASLOI;KOBOLD_TASLOI;BPTASL03;;1;MALE;MALE;ENEMY;BPSIGHT;None;None;None;BPASIGHT;;;;;;S1-2;;;;0;bg1;Tasloi
BPTAVE01;HUMANOID;HUMAN;FIGHTER;FIGHTER_FEMALE_HUMAN;BPTAVE01;;1;FEMALE;FEMALE;ALLY;None;None;None;None;OHFGTK01;;;;;;DAGG01;;;;0;bg1;Tavern Patron
BPTAVE02;HUMANOID;HUMAN;FIGHTER;PEASANT_MAN;BPTAVE02;;1;MALE;MALE;ALLY;None;None;None;None;OHFGTK01;;;;;;BLUN01;;;;0;bg1;Tavern Bully
BPTAVE03;HUMANOID;DWARF;FIGHTER;FIGHTER_MALE_DWARF;BPTAVE03;;1;MALE;MALE;ALLY;None;None;None;None;OHFGTK01;;;;;;SW1H07;;;;0;bg1;Tavern Bouncer
BPTAVE04;HUMANOID;HUMAN;FIGHTER;PEASANT_MAN;BPTAVE04;;1;MALE;MALE;ALLY;None;None;None;None;OHFGTK01;;;;;;DAGG01;;;;0;bg1;Tavern Bully
BPTAVE05;HUMANOID;HUMAN;FIGHTER;PEASANT_MAN;BPTAVE05;;1;MALE;MALE;ALLY;None;None;None;None;OHFGTK01;;;;;;STAF01;;;;0;bg1;Tavern Bully
BPTAVE06;HUMANOID;HUMAN;FIGHTER;PEASANT_MAN;BPTAVE06;;1;MALE;MALE;ALLY;None;None;None;None;OHFGTK01;;;;;;BOW05;;;;0;bg1;Tavern Bully
BPTHARDE;GIANTHUMANOID;DUERGAR;FIGHTER;THIEF_MALE_DWARF;BPTHARDE;BPTHARDE;10;MALE;MALE;NEUTRAL;BPHUBA;None;None;None;BPASIGHT;;;RING02;RING27;;SW2H07;;;;0;bg1;Thardek
BPTHBARB;HUMANOID;HALFORC;FIGHTER;FIGHTER_FEMALE_HALFORC;BPTHBARB;;8;FEMALE;FEMALE;ENEMY;BPSIGHT;OHGN01;BPFGBA01;;;HELM01;SHLD03;;RING02;;HAMM03;;;;0;bg1;Voadikka
BPTHBKGD;HUMANOID;HUMAN;PALADIN;FIGHTER_FEMALE_HUMAN;BPTHBKGD;;8;FEMALE;FEMALE;ENEMY;BPSIGHT;OHGN01;BPFGTK01;;;HELM06;SHLD15;;RING02;;;;SW1H34;;0;bg1;Lucille
BPTHCL;HUMANOID;ELF;CLERIC;CLERIC_MALE_ELF;BPTHCL;;8;MALE;MALE;ENEMY;BPSIGHT;OHGN01;OHPRDD01;None;None;HELM01;SHLD05;;RING02;;BLUN04;;;;0;bg1;Lucius
BPTHF1;HUMANOID;HUMAN;THIEF;THIEF_MALE_HUMAN;BPTHF1;;1;MALE;MALE;ENEMY;BPSIGHT;OHGN01;BPFGBA01;;;;;;;;SW1H07;COMPB05;;;0;bg1;Dead Goblin Gang
BPTHF2;HUMANOID;HUMAN;THIEF;THIEF_FEMALE_ELF;BPTHF2;;1;FEMALE;FEMALE;ENEMY;BPSIGHT;OHGN01;BPFGBA01;;;;;;;;SW1H07;COMPB05;;;0;bg1;Dead Goblin Gang
BPTHTHF;HUMANOID;HALFLING;THIEF;THIEF_MALE_HALFLING;BPTHTHF;;8;MALE;MALE;ENEMY;BPSIGHT;OHGN01;BPFGBA01;;;;SHLD08;;RING02;;DART03;DART01;;;0;bg1;Red Tom
BPTIM;HUMANOID;HALFLING;THIEF;THIEF_MALE_HALFLING;BPTIM;;3;MALE;MALE;ENEMY;BPSIGHT;OHGN01;BPFGBA01;;;;;;;;DAGG01;BOW05;;;0;bg1;Tim
BPTNAT;HUMANOID;DWARF;FIGHTER;FIGHTER_MALE_DWARF;BPTNAT;;3;MALE;MALE;NEUTRAL;BPSIGHT;OHGN01;BPFGBA01;;;;SHLD03;;;;;;;HAMM02;0;bg1;Ant
BPTROLL;MONSTER;TROLL;FIGHTER;TROLL;BPTROLL;;6;NIETHER;MALE;ENEMY;TROLL01;BPSIGHT;BPTROL01;None;BPASIGHT;;;TROLLREG;TROLLIMM;MONHP1;TROLL02;;;;0;bg1;Troll
BPTSOCT;HUMANOID;HUMAN;CLERIC;CLERIC_MALE_HUMAN;BPTSOCT;;3;MALE;MALE;NEUTRAL;BPSIGHT;OHGN01;OHPRDD01;;;;SHLD07;RING22;;;;BLUN03;;;0;bg1;Tsoct
BPVAMPMI;MONSTER;MIST;MIST;BLOB_MIST_CREATURE;BPVAMPMI;None;1;MALE;MALE;NEUTRAL;BPVAMPMI;None;None;None;None;;;;;;;;;;1;bg1;Night Knives Thief
BPWRAI01;UNDEAD;WRAITH;WRAITH;SHADOW;BPWRAI01;None;6;MALE;MALE;ENEMY;BPSIGHT;None;None;None;BPASIGHT;;;IMMUNE1;IMMCHS;;WRAITH1;;;;0;bg1;Wraith
BPWYLLI2;HUMANOID;HUMAN;MAGE;MAGE_MALE_HUMAN;BPWYLLIA;BPWYLLIA;7;MALE;MALE;ENEMY;BPSIGHT;OHGN01;OHMADD01;None;;;;RING02;RING06;;STAF18;;;;0;bg1;Wylliam Brand
BPWYLLIA;HUMANOID;HUMAN;MAGE;MAGE_MALE_HUMAN;BPWYLLIA;BPWYLLIA;7;MALE;MALE;NEUTRAL;;;;None;;;;;;;STAF18;;;;0;bg1;Wylliam Brand
BPXITHIS;GIANTHUMANOID;MIND_FLAYER;MIND_FLAYER;MINDFLAYER;BPXITHIS;BPXITHIS;5;MALE;MALE;NEUTRAL;BPHUBA;None;None;None;BPASIGHT;;;;;;;;;;5000;bg1;Xithiss
BRAGE;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN;Brage;BRAGE;7;MALE;MALE;NEUTRAL;brage;;None;None;dw1melge;;;;;;SW2H03;;;;1400;bg1;Brage
BRAGE2;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN;Brage;brage;7;MALE;MALE;NEUTRAL;dw#urbhl;None;None;None;dw1melge;;;;;;;;;;1400;bg1;Brage
BRAN;HUMANOID;HUMAN;CLERIC;CLERIC_MALE_HUMAN;None;BRAN;5;MALE;MALE;NEUTRAL;dw#urbhl;;None;None;dw#pr9;;;;;;;;;;300;bg1;Dawn Priest Bram
BRANDI;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN;brandi;brandi;7;MALE;MALE;NEUTRAL;dw#urbhl;SEEENEMY;None;None;dw1melge;;SHLD03;;;;BLUN04;;;;1400;bg1;Brandilar
BRANWE;HUMANOID;STATUE;CLERIC;CLERIC_FEMALE_HUMAN;BRANWEN;branwe;2;FEMALE;FEMALE;NEUTRAL;BRANWEN;PRIEST2;WTASIGHT;None;DPLAYER;;;;;;;;;;0;bg1;Statue
BRANWE5;HUMANOID;STATUE;CLERIC;CLERIC_FEMALE_HUMAN;BRANWEN;branwe;5;FEMALE;FEMALE;NEUTRAL;BRANWEN;PRIEST2;WTASIGHT;None;DPLAYER;;;;;;;;;;0;bg1;Statue
BRATHL;HUMANOID;HUMAN;CLERIC;CLERIC_MALE_HUMAN;None;brathl;1;MALE;MALE;NEUTRAL;dw#urbhl;FLAM6;;None;dw#pr10;;;;;;HAMM13;;;;125;bg1;Brathlen
BRENDA;HUMANOID;HUMAN;MAGE;MAGE_MALE_HUMAN;BRENDAN;None;7;MALE;MALE;NEUTRAL;dw#gpsht;;None;;dw#mg165;;;;;;STAF01;;;;300;bg1;Brendan
BRENNA;HUMANOID;HUMAN;INNOCENT;PEASANT_MAN;brenna;brenna;1;MALE;MALE;NEUTRAL;dw#innhl;INITDLG;None;None;WDRUNSGT;;;;;;;;;;15;bg1;Brennan Risling
BREVLI;HUMANOID;DWARF;INNOCENT;THIEF_MALE_DWARF;Brevlik;BREVLI;2;MALE;MALE;NEUTRAL;RR#PICKP;None;None;None;dw1melge;;;;;;DAGG01;;;;120;bg1;Brevlik
BRIELB;HUMANOID;HUMAN;INNOCENT;MAGE_FEMALE_HUMAN;Brielbara;brielb;6;FEMALE;FEMALE;NEUTRAL;X#GOBRI;;None;None;dw#mg2;;;;;AMUL10;DAGG01;;;;975;bg1;Brielbara
BRILLA;HUMANOID;HUMAN;MAGE;NOBLE_WOMAN;brilla;brilla;0;FEMALE;FEMALE;NEUTRAL;brilla;INITDLG;;None;wtrunsgt;;;RING10;;;;;;;7;bg1;Brilla
BRITIK;HUMANOID;GNOLL;FIGHTER;GNOLL;BRITIK;;5;MALE;MALE;NEUTRAL;dw#c3hst;;dw#gpsht;None;dw1melge;;;;;;HALB01;;;;900;bg1;Britik
BRUNOS;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN;Bruno;bruno;9;MALE;MALE;NEUTRAL;dw#gpsht;None;None;None;dw1melge;;SHLD04;;;;BLUN07;;;;1400;bg1;Brunos
BUB;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN;BUB;bub;6;MALE;MALE;NEUTRAL;INITDLG;;None;None;dw1range;;;;;;BOW03;SW1H07;;;300;bg1;Bub Snikt
BULLRUSH;HUMANOID;HOBGOBLIN;HOBGOBLIN;HOBGOBLIN;BULLRUSH;BULLRUSH;3;MALE;MALE;ALLY;None;INITDLG;;None;dw1range;;;;;;COMPB05;COMPS01;;;950;bg1;Bullrush
CADDER;HUMANOID;HUMAN;INNOCENT;MAGE_MALE_HUMAN;None;CADDER;20;MALE;MALE;NEUTRAL;dw#urbhl;INITMAIN;PRIEST5;None;dw1melge;;;;;;STAF01;;;;10000;bg1;Cadderly
CAEDMO;HUMANOID;HUMAN;FLAMING_FIST;CLERIC_MALE_HUMAN;caedmo;caedmo;1;MALE;MALE;NEUTRAL;dw#urbhl;INITDLG;MTOWBAZ;None;dw1melge;HELM09;SHLD01;;;;SW1H04;;;;15;bg1;Caedmon
CAILAN;HUMANOID;STATUE;FIGHTER;FIGHTER_MALE_HUMAN;CAILAN;CAILAN;6;MALE;MALE;NEUTRAL;;None;None;None;WTASIGHT;;SHLD01;;;;SW1H04;;;;1200;bg1;Statue
CALAHA;HUMANOID;HUMAN;THIEF;THIEF_MALE_HUMAN;calahan;calaha;7;MALE;MALE;NEUTRAL;dw#urbhl;initdlg;None;None;dw1melth;;SHLD08;;RING10;;SW1H08;;;;70;bg1;Calahan
CALDO;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN;Caldo;caldo;3;MALE;MALE;NEUTRAL;dw#gpsht;RR#PICKP;None;None;dw1melge;;SHLD03;;;;BLUN02;;;;175;bg1;Caldo
CANDER;HUMANOID;HUMAN;CLERIC;CLERIC_MALE_HUMAN;CANDEROUS;None;2;MALE;MALE;NEUTRAL;None;None;None;None;None;IHELM01;ISHLD02;;;;IBLUN04;;;;0;bg1;Canderous
CANTIC;HUMANOID;HUMAN;INNOCENT;SLAVE;CANTICLE;cantic;1;MALE;MALE;NEUTRAL;RR#PICKP;SLAVE;None;None;wtrunsgt;;;;;;;;;;2;bg1;Canticle
CANTO;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN;CANTO;canto;6;MALE;MALE;NEUTRAL;dw#gpsht;CANTO;None;None;dw1melge;;;;;;SW1H04;;;;300;bg1;Ioin Gallchobhair
CARBOS;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN;carbos;Carbos;1;MALE;MALE;NEUTRAL;INITDLG;None;None;None;dw1melge;;;;;;DAGGSHIT;;;;20;bg1;Carbos
CARRIO;MONSTER;CARRIONCRAWLER;CARRIONCRAWLER;CARRION_CRAWLER;carrio;;3;NIETHER;MALE;ENEMY;dw#gpshm;CCRAWLER;None;None;none;;;;;;CARRIO1;;;;420;bg1;Carrion Crawler
CARRIOSU;MONSTER;CARRIONCRAWLER;CARRIONCRAWLER;CARRION_CRAWLER;None;;5;SUMMONED;SUMMONED;CONTROLLED;None;CCRAWLER;None;None;none;;;;;;CARRIO1;;;;0;bg1;Mutated Crawler
CARSA;HUMANOID;HUMAN;MAGE;MAGE_FEMALE_HUMAN;CARSA;carsa;6;FEMALE;FEMALE;NEUTRAL;;CARSA;;None;dw#mg42;;;;;;DAGG01;;;;275;bg1;Carsa
CARSTO;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN;CARSTON;None;9;MALE;MALE;NEUTRAL;dw#gpsht;RR#PICKP;;None;dw1range;HELM01;;;;;BOW01;COMPS01;;;2400;bg1;Carston
CASSON;HUMANOID;HUMAN;INNOCENT;BOY;Casson;casson;0;MALE;MALE;NEUTRAL;RR#PICKP;None;None;None;wtrunsgt;;;;;;;;;;7;bg1;Casson Belde'ar
CAT;ANIMAL;CAT;CAT;CAT;None;None;1;MALE;MALE;NEUTRAL;None;None;None;None;WDRUNSGT;;;;;;;;;;1;bg1;Cat
CATDEAD;ANIMAL;CAT;CAT;CAT;None;None;1;MALE;MALE;NEUTRAL;None;None;None;None;WDRUNSGT;;;;;;;;;;1;bg1;Cat
CATJAG01;ANIMAL;CAT;HUNTER_CREATURE;GREATCAT_PANTHER;CATJAG01;;4;MALE;MALE;NEUTRAL;;BDGRSHTV;HUNTER;BDANIMN;BDNONIN;;;;;;CATJAG;;;;420;bg1;Panther
CATJAGSU;ANIMAL;CAT;CAT;GREATCAT_LEOPARD;None;;4;SUMMONED;MALE;ALLY;CATJAGSU;None;None;None;;;;;;;CATJAGSU;;;;0;bg1;Leopard
CATLIM01;ANIMAL;CAT;HUNTER_CREATURE;GREATCAT_LEOPARD;CATLIM01;;4;MALE;MALE;NEUTRAL;;BDGRSHTV;HUNTER;BDANIMN;BDNONIN;;;;;;P1-6;;;;270;bg1;Mountain Lion
CATLIOSU;ANIMAL;CAT;CAT;GREATCAT_LEOPARD;SUMSHT01;;4;SUMMONED;SUMMONED;CONTROLLED;None;None;None;None;BDSUM00;;;;;;CATLIO;;;;0;bg1;Lion
CATLIOWP;ANIMAL;CAT;CAT;GREATCAT_LEOPARD;catliowp;;5;SUMMONED;FEMALE;CONTROLLED;None;None;None;None;BDSUM00;;;FIGRING1;IMMUNE1;;CATLIO;;;;650;bg1;Joolon
CATP;ANIMAL;CAT;CAT;CAT;PetrinesCat;None;1;MALE;MALE;NEUTRAL;None;None;None;None;WTRUNSGT;;;;;;;;;;1;bg1;Angel the Cat
CATTAC;HUMANOID;HOBGOBLIN;HOBGOBLIN;HOBGOBLIN;CATTACK;cattac;6;MALE;MALE;NEUTRAL;RR#PICKP;shoutdlg;None;None;WTATTWAT;HELM01;;;;;CATTAC1;;;;120;bg1;Cattack
CATURA;HUMANOID;HUMAN;RANGER;FIGHTER_MALE_HUMAN;CATURAK;None;6;MALE;MALE;NEUTRAL;dw#gpsht;gretek;;gretek;dw1range;;;;;;BOW01;SW1H07;;;750;bg1;Caturak
CAUTER;HUMANOID;HUMAN;INNOCENT;PEASANT_MAN;CAUTERNUS;CAUTER;1;MALE;MALE;NEUTRAL;dw#innhl;INITDLG;None;None;WTRUNSGT;;;;;;;;;;15;bg1;Cauternus
CAVENE;ANIMAL;BEAR;BEAR_CAVE;BEAR_CAVE;CAVENE;none;1;MALE;MALE;ENEMY;dw#gpsht;None;CBEAR;None;dw1melmo;;;;;;B1-10;;;;650;bg1;Cave Bear
CDGTLBTR;ANIMAL;NO_RACE;NO_CLASS;BIRD;cdgtlbtr;None;1;MALE;MALE;NEUTRAL;cdgtlb;None;;None;None;;;;MAGE01;;;;;;0;bg1;
CDGTLBWI;ANIMAL;NO_RACE;NO_CLASS;BIRD;cdgtlbwi;None;1;MALE;MALE;NEUTRAL;cdgtlb;None;;None;None;;;;MAGE01;;;;;;0;bg1;
CDMHKOBO;HUMANOID;KOBOLD;KOBOLD;KOBOLD;None;;1;MALE;MALE;ENEMY;cdmhkobo;None;KOBOLDF;None;dw1melge;;;;;;SW1H07;;;;7;bg1;Kobold
CDMHSKEL;UNDEAD;SKELETON;SKELETON;SKELETON;None;None;1;NIETHER;158;ENEMY;cdmhkobo;None;None;None;dw1melmo;;;RING99;;;B1-6;;;;0;bg1;Skeleton
CENTEO;HUMANOID;SPIDER;SPIDER_CENTEOL;STATIC_SPIDER_WOMAN;CENTEOL;CENTEO;11;FEMALE;FEMALE;NEUTRAL;CENTEOL;None;None;None;dw1melge;;;;;ANTIWEB;;;;;1000;bg1;Centeol
CHANTE;HUMANOID;HUMAN;INNOCENT;MAGE_MALE_HUMAN;None;None;4;MALE;MALE;NEUTRAL;RR#PICKP;RUNENEMY;None;None;WTRUNSGT;;;;;;STAF01;;;;420;bg1;Chanter
CHANTE2;HUMANOID;HUMAN;INNOCENT;MAGE_MALE_HUMAN;None;chante2;4;MALE;MALE;NEUTRAL;INITMAIN;RUNENEMY;None;None;WTRUNSGT;;;;;;STAF01;;;;35;bg1;Chanter
CHANTH;HUMANOID;HUMAN;INNOCENT;CLERIC_MALE_HUMAN;None;chanth;8;MALE;MALE;NEUTRAL;dw#urbhl;PRIEST4;None;None;dw1melge;;;;;;BLUN06;;;;1400;bg1;Chanthalas Ulbright
CHARBASE;HUMANOID;HUMAN;MAGE;SIRINE;None;None;1;MALE;MALE;PC;None;None;None;None;None;;;;;;;;;;0;bg1;
CHARLE;HUMANOID;HUMAN;INNOCENT;PEASANT_MAN;Charleston;charle;0;MALE;MALE;NEUTRAL;DIGSHOUT;None;None;None;wtrunsgt;;;;;;;;;;7;bg1;Charleston Nib
CHASE;HUMANOID;HUMAN;INNOCENT;NOBLE_MAN;None;CHASE;1;MALE;MALE;NEUTRAL;dw#innhl;WTRUNWAT;None;None;WTRUNSGT;;;;;;;;;;15;bg1;Chase
CHELAN;HUMANOID;HUMAN;INNOCENT;PEASANT_MAN;chelan;chelan;0;MALE;MALE;NEUTRAL;dw#innhl;None;None;None;wtrunsgt;;;;;;;;;;7;bg1;Chelan
CHESS;MONSTER;NO_RACE;NO_CLASS;DOOM_GUARD;None;chess;8;NIETHER;MALE;NEUTRAL;CHESS;None;None;None;None;;;RING95;MAGE01;;S2-16;;;;3000;bg1;Ethereal Voice
CHHERD;ANIMAL;NO_RACE;NO_CLASS;CHICKEN;None;None;1;MALE;MALE;NEUTRAL;None;None;None;None;WDRUNSGT;;;;;;;;;;1;bg1;Chicken
CHICKDEF;ANIMAL;NO_RACE;FOOD_CREATURE;CHICKEN;None;None;1;MALE;MALE;PC;None;SEEENEMY;None;None;dw1melmo;;;;;;S1-2;;;;1;bg1;Rabid Chicken
CHICKE;ANIMAL;NO_RACE;FOOD_CREATURE;CHICKEN;None;None;1;MALE;MALE;NEUTRAL;None;None;None;None;WDRUNSGT;;;;;;;;;;1;bg1;Chicken
CHICKER;ANIMAL;NO_RACE;FOOD_CREATURE;CHICKEN;None;None;1;MALE;MALE;ENEMY;None;None;None;None;dw1melmo;;;;;;S1-2;;;;1;bg1;Rabid Chicken
