file;general;race;class;anim;deathvar;dialog;level;gender;sex;allegiance;overrideScript;classScript;raceScript;generalScript;defaultScript;helmet;shield;lring;rring;amulet;weapon1;weapon2;weapon3;weapon4;xpv;origin;summon;comment;MonsterId;ValidatedMonsterId;ValidatedLevel;ValidatedItems;ValidatedScript;game;name
BDEINER;GIANTHUMANOID;OGRE;FIGHTER;OGRE;BDEINER;BDEINER;11;NIETHER;MALE;NEUTRAL;BDEINER;BD5200EN;BDSHOUT;BDFIGH01;;;;;;;BLUN06;;;;2000;bg1;;;OgreBerserker;true;true;true;;;Einer
D9OGRGA2;GIANTHUMANOID;OGRE;FIGHTER;OGRE;D9OGRGA2;;5;MALE;MALE;ENEMY;GENSHT01;None;;None;dw2mc2ba;;;;;;BLUN06;;;;600;butchery;;;OgreBerserker;false;;;;;Ogre Barbarian
GAROCK;GIANTHUMANOID;MINOTAUR;FIGHTER;MINOTAUR;Garock;garock;23;MALE;MALE;ENEMY;None;None;garock;None;dw3ms2ge;HELMNOAN;;;;;AX1H17;;;;10000;bg2;;;OgreBerserker;false;;;;;Garock
GPFIGHT1;HUMANOID;OGRE;FIGHTER;OGRE;gpfight1;gpfight1;16;MALE;MALE;ENEMY;gpshout;;None;None;dw2mp2be;HELM01;;;;;HALB05;;;;6000;bg2;;;OgreBerserker;false;;;;;Boz
BDOGRE02;GIANTHUMANOID;OGRE;FIGHTER;OGRE;BDOGRE02;;5;MALE;MALE;ENEMY;;BDENSHTV;;;BDFIG00;;;;;;BDOGRE02;;;;650;bg1;;;OgreBerserker;true;true;true;true;;Ogre Berserker
BDOGREDS;GIANTHUMANOID;OGRE;FIGHTER;OGRE;BDOGREDS;BDOGREDS;7;NIETHER;MALE;NEUTRAL;BDADS2;BDASC;BDSHOUT;BDFIGH42;;;;;;;BLUN06;;;;1400;bg1;;;OgreBerserker;true;true;true;;;Ogre Berserker
NEOGRE;GIANTHUMANOID;OGRE;OGRE;OGRE;NEOGRE;;4;NIETHER;MALE;ENEMY;None;None;;None;dw1melge;;;;;;SW2H01;;;;350;bg1;;;OgreBerserker;true;true;true;true;;Ogre Berserker
OGREBERZ;GIANTHUMANOID;OGRE;OGRE;OGRE;Ogre;;4;NIETHER;MALE;ENEMY;dw#gpsht;None;;None;dw1melbe;;;;;;SW2H01;;;;650;bg1;;;OgreBerserker;true;true;true;true;;Ogre Berserker
OGREGRSU;GIANTHUMANOID;OGRE;FIGHTER;OGRE;Ogre;;5;SUMMONED;MALE;ALLY;None;None;None;None;DVBRSKER;;;;;;OGREGRSU;;;;0;bg1,bg2;true;;OgreBerserker;true;true;true;true;;Ogre Berserker
X3HOGREC;GIANTHUMANOID;OGRE;FIGHTER;OGRE;X3HogreC;X3HogreC;7;NIETHER;NIETHER;NEUTRAL;X3HogreC;BDASC;BDSHOUT;BDFIGH42;;;;;;;BLUN06;;;;1400;helga;;;OgreBerserker;true;true;true;;;Ogre Champion
BDOGRE06;GIANTHUMANOID;OGRE;FIGHTER;OGRE;BDOGRE06;;7;MALE;MALE;ENEMY;;BDENSHTV;;;BDFIG00;;;;;;BDOGRE06;;;;975;bg1;;;OgreBerserker;true;true;true;true;;Ogre Chieftain
BDWAVE13;GIANTHUMANOID;OGRE;FIGHTER;OGRE;BDWAVE1;;8;NIETHER;MALE;ENEMY;;BDBWAVE;BDSHOUT;BDFIGH01;;HELMNOAN;;;;;BLUN06;;;;1400;bg1;;;OgreBerserker;true;true;;;;Ogre Crusader
X3HOGREL;GIANTHUMANOID;OGRE;FIGHTER;OGRE;X3HogreL;X3HogreL;7;MALE;MALE;NEUTRAL;X3HogreL;BDENSHTV;;BDFIGH42;X3HogreL;;;;;;BDOGRE06;;;;3000;helga;;;OgreBerserker;true;true;true;;;Ogre King
OHBMIN01;HUMANOID;MINOTAUR;FIGHTER;MINOTAUR;OHBMIN01;;11;MALE;MALE;ENEMY;;OHB_T102;;;OHBFIG01;;;;;;HALB01;;;;0;bg2;;;OgreBerserker;false;;;;;Minotaur
OHBMINSU;HUMANOID;MINOTAUR;FIGHTER;MINOTAUR;OHBMINSU;;13;SUMMONED;MALE;NEUTRAL;;;;;OHBFIG03;;;MAGE01;;;HALB02;;;;0;bg2;true;;OgreBerserker;false;;;;;Minotaur
OHNGHALL;GIANTHUMANOID;MINOTAUR;FIGHTER;MINOTAUR;OHNGHALL;OHNGHALL;14;NIETHER;MALE;NEUTRAL;OHNGHALL;;;;dw2ms2ba;;;;;;AX1H11;;;;8000;bg2;;;OgreBerserker;false;;;;;Ghallus
BDSLUG;GIANTHUMANOID;OGRE;FIGHTER;OGRE;BDSLUG;BDSLUG;9;MALE;MALE;NEUTRAL;BDSLUG;BDSOGR;BDSHOUT;BDFIGH01;;;;;;;BDSLUG;;;;6000;bg1;;;OgreBerserker;true;true;true;;;Slug
BDSLUG2;GIANTHUMANOID;OGRE;FIGHTER;OGRE;BDSLUG;BDSLUG;9;MALE;MALE;NEUTRAL;BDADS2;BDASC;BDSHOUT;BDFIGH43;;HELMNOAN;;;;;BDSLUG;;;;6000;bg1;;;OgreBerserker;true;true;;;;Slug
ROCK;GIANTHUMANOID;MINOTAUR;FIGHTER;MINOTAUR;Rock;rock;23;MALE;MALE;ENEMY;None;INPANRSG;ROCK;None;dw3ms2ge;HELMNOAN;AX1H17;;;;AX1H14;;;;15000;bg2;;;OgreBerserker;false;;;;;Rock
BDYAROK;GIANTHUMANOID;OGRE;FIGHTER;OGRE;BDYAROK;BDYAROK;10;NIETHER;MALE;ENEMY;;BDBWAVE;BDSHOUT;BDFIGH01;;HELMNOAN;;;;;BLUN07;;;;2000;bg1;;;OgreBerserker;true;true;;;;Yarok
ZILFGT01;MONSTER;OGRE;FIGHTER;OROG_CHIEFTAIN;zilfgt02;zilfgt02;15;MALE;MALE;NEUTRAL;illagrp;None;None;dw#gphlp;dw2mp2mo;HELM15;;;;;SPER02;;;;5000;bg2;;;OgreBerserker;false;;;;;Black Reaver
DROTH;HUMANOID;OGRE;OGRE_MAGE;OGRE_MAGE;Droth;DROTH;5;MALE;MALE;NEUTRAL;RR#PICKP;dw#shdlg;;None;dw#mg58;HELM04;;;;;SW1H43;;;;975;bg1;;;OgreMage;true;true;;;;Droth
CBHAKSH1;GIANTHUMANOID;OGRE;OGRE_MAGE;MIST_CREATURE;CBHAKSH1;;12;ILLUSIONARY;MALE;NEUTRAL;NISHRU01;CBHAKSHR;None;None;None;;;;IMMUNE1;;NISHRUU;;;;6200;ctb;;;OgreMage;false;;;;;Hakeashar
CBHAKSHR;GIANTHUMANOID;OGRE;OGRE_MAGE;MIST_CREATURE;CBHAKSHR;;12;ILLUSIONARY;MALE;NEUTRAL;NISHRU01;CBHAKSHR;None;None;None;;;;IMMUNE1;;NISHRUU;;;;6200;ctb;;;OgreMage;false;;;;;Hakeashar
CHEVIL03;GIANTHUMANOID;OGRE;OGRE_MAGE;OGRE_MAGE;chevil03;chevil03;5;EXTRA2;MALE;ENEMY;chalDIE;GRPSHT01;None;None;dw#mg94;;;;MAGE01;;COMPS01;;;;750;bg2;;;OgreMage;false;;;;;Ogre Mage
D0OGREMA;GIANTHUMANOID;OGRE;OGRE_MAGE;OGRE_MAGE;None;;5;MALE;MALE;ENEMY;None;None;None;MAGE3;dw2ms2ge;;;;MAGE01;;SW1H01;;;;650;D0QUESTPACK;;;OgreMage;false;;;;;Ogre Mage
D9OGMAGE;GIANTHUMANOID;OGRE;OGRE_MAGE;OGRE_MAGE;None;;5;NIETHER;MALE;ENEMY;GENSHT01;None;None;MAGE3;dw2ms2ge;;;;MAGE01;;COMPS01;;;;650;butchery;;;OgreMage;false;;;;;Ogre Mage
DRUSH;GIANTHUMANOID;OGRE;OGRE_MAGE;OGRE_MAGE;drush;drush;5;NIETHER;MALE;NEUTRAL;drush;None;MAGE3;None;dw2ms2ge;;;;;;COMPS01;;;;650;bg2;;;OgreMage;false;;;;;Drush
KAHRK;HUMANOID;OGRE;OGRE_MAGE;OGRE_MAGE;KAHRK;kahrk;12;MALE;MALE;NEUTRAL;dw#shdlg;None;;;dw#mg80;;;;;;DW#UDKAK;;;;3500;bg1;;;OgreMage;true;;;;;Kahrk
KROTAN;HUMANOID;OGRE;OGRE_MAGE;OGRE;None;krotan;0;MALE;MALE;NEUTRAL;RR#PICKP;None;None;None;dw1melge;;;;;;SW1H05;;;;650;bg1;;;OgreMage;true;;;;;Krotan
NTKROTAN;HUMANOID;OGRE;OGRE;OGRE_MAGE;NTKROTAN;NTKROTAN;15;MALE;MALE;NEUTRAL;NTKROTAN;;;;dw1melge;;SHLD03;;;;SW2H02;;;;6000;NTOTSC;;;OgreMage;true;;;;;Krotan
BDMURS;GIANTHUMANOID;OGRE;OGRE_MAGE;OGRE_MAGE;BDMURS;BDMURS;9;NIETHER;FEMALE;NEUTRAL;BDMURS;NONE;;NONE;dw1melge;;;;;;BLUN15;;;;2000;bg1;;;OgreMage;true;;true;;;Murs
BDMURS2;GIANTHUMANOID;OGRE;OGRE_MAGE;OGRE_MAGE;BDMURS;BDMURS;9;NIETHER;FEMALE;NEUTRAL;BDADS2;BDASC;BDSHOUT;BDFMAG23;;;;;;;BLUN15;;;;2000;bg1;;;OgreMage;true;;true;;;Murs
IOGREMAG;GIANTHUMANOID;OGRE;OGRE_MAGE;OGRE_MAGE;AataqahOgre;;5;NIETHER;MALE;ENEMY;AATAQFGT;None;None;;dw#mg232;;;;;;COMPS01;;;;650;bg2;;;OgreMage;false;;;;;Ogre Mage
BDOGRE03;GIANTHUMANOID;OGRE;FIGHTER_MAGE;OGRE_MAGE;BDOGRE03;;5;MALE;MALE;ENEMY;;BDENSHTV;;BDOGRE03;BDFIG00;;;REGHP1;;;BDOGRE03;;;;650;bg1;;;OgreMage;true;true;true;true;;Ogre Mage
BDWAVE16;GIANTHUMANOID;OGRE;FIGHTER_MAGE;OGRE_MAGE;BDWAVE16;;7;NIETHER;MALE;ENEMY;;BDBWAVE;BDSHOUT;BDFMAG01;;HELMNOAN;;;;;SW1H43;;;;1400;bg1;;;OgreMage;true;true;true;;;Ogre Mage
BPOGMA01;GIANTHUMANOID;OGRE;OGRE_MAGE;OGRE_MAGE;BPOGMA01;;5;NIETHER;MALE;ENEMY;BPSIGHT;None;None;BPASIGHT;dw#mg30;;;;;;;;;;0;bg1;;;OgreMage;true;true;true;;;Ogre Mage
NTFOREOG;GIANTHUMANOID;OGRE;OGRE_MAGE;OGRE_MAGE;NTFOREOG;;5;NIETHER;MALE;ENEMY;;;;;dw#mg101;;;;MAGE01;;SW1H01;;;;650;NTOTSC;;;OgreMage;true;true;;true;;Ogre Mage
OGREMA;GIANTHUMANOID;OGRE;OGRE_MAGE;OGRE_MAGE;None;;5;NIETHER;MALE;ENEMY;None;None;;None;dw#mg103;;;;MAGE01;;COMPS01;;;;650;bg1;;;OgreMage;true;true;;true;;Ogre Mage
OGREMA_A;GIANTHUMANOID;OGRE;OGRE_MAGE;OGRE_MAGE;None;;5;NIETHER;MALE;ENEMY;None;None;;None;dw#mg106;;;;;;COMPS01;;;;650;bg1;;;OgreMage;true;true;true;true;;Ogre Mage
OGREMA_B;GIANTHUMANOID;OGRE;OGRE_MAGE;OGRE_MAGE;None;;5;NIETHER;MALE;ENEMY;None;None;;None;dw#mg107;;;MAGE01;;;COMPS01;;;;650;bg1;;;OgreMage;true;true;;true;;Ogre Mage
OGREMA_C;GIANTHUMANOID;OGRE;OGRE_MAGE;OGRE_MAGE;None;;5;NIETHER;MALE;ENEMY;None;None;;None;dw#mg108;;;;;;COMPS01;;;;650;bg1;;;OgreMage;true;true;true;true;;Ogre Mage
OGREMA_D;GIANTHUMANOID;OGRE;OGRE_MAGE;OGRE_MAGE;None;ogrelead;5;NIETHER;MALE;NEUTRAL;shoutdlg;None;;None;dw#mg109;;;MAGE01;;;SW1H43;;;;650;bg1;;;OgreMage;true;true;;;;Ogre Mage
OGREMA02;GIANTHUMANOID;OGRE;OGRE_MAGE;OGRE_MAGE;DICK;ogrma3;5;NIETHER;MALE;NEUTRAL;dw#gpsht;shoutdlg;;None;dw#mg104;;;;;;COMPS01;;;;650;bg1;;;OgreMage;true;true;true;;;Ogre Mage
OGREMA03;GIANTHUMANOID;OGRE;OGRE_MAGE;OGRE_MAGE;cmogremage;ogrma2;5;NIETHER;MALE;NEUTRAL;dw#shdlg;None;;None;dw#mg105;;;MAGE01;;;SW1H44;;;;650;bg1;;;OgreMage;true;true;;;;Ogre Mage
OGREMASU;GIANTHUMANOID;OGRE;FIGHTER_MAGE;OGRE_MAGE;None;;6;SUMMONED;MALE;ALLY;None;None;OGREMASU;None;;;;;;;OGREMASU;;;;0;bg1,bg2;true;;OgreMage;true;true;true;true;;Ogre Mage
OGREMBA;HUMANOID;OGRE;OGRE_MAGE;OGRE_MAGE;SewerOgre;OGRMBA;0;MALE;MALE;NEUTRAL;RR#PICKP;INITDLG;None;None;dw1melge;;;;;;COMPS02;;;;650;bg1;;;OgreMage;true;;true;;;Ogre Mage
OGRMBA;HUMANOID;OGRE;OGRE_MAGE;OGRE_MAGE;SewerOgre;OGRMBA;5;MALE;MALE;NEUTRAL;RR#PICKP;shoutdlg;;None;dw#mg110;;;;;;COMPS02;;;;650;bg1;;;OgreMage;true;true;true;;;Ogre Mage
UBOGMA01;GIANTHUMANOID;OGRE;OGRE_MAGE;OGRE_MAGE;UBOGMA01;;5;NIETHER;MALE;ENEMY;None;None;;None;dw#mg133;;;;;;COMPS01;;;;650;bg1ub;;;OgreMage;true;true;true;;;Ogre Mage
UBOGMA02;GIANTHUMANOID;OGRE;OGRE_MAGE;OGRE_MAGE;UBOGMA02;;5;NIETHER;MALE;ENEMY;None;None;;None;dw#mg134;;;MAGE01;;;COMPS01;;;;650;bg1ub;;;OgreMage;true;true;;;;Ogre Mage
L#ASPT2;GIANTHUMANOID;OGRE;OGRE_MAGE;OGRE_MAGE;L#ASPT2;L#ASPT2;5;NIETHER;MALE;NEUTRAL;;NONE;NONE;MAGE3;dw2ms2ge;;;;;;COMPS01;;;;1000;ALABASTERSANDS;;;OgreMage;false;;;;;Bijmal
L#CURS;GIANTHUMANOID;OGRE;OGRE_MAGE;MIST_CREATURE;L#CURS;;9;NIETHER;MALE;NEUTRAL;NISHRU01;NONE;NONE;NONE;NONE;;;;;;NISHRUU;;;;1000;FOUNDLING;;;OgreMage;false;;;;;Curse
OGREMA01;GIANTHUMANOID;OGRE;OGRE_MAGE;OGRE_MAGE;None;;5;NIETHER;MALE;ENEMY;None;None;None;MAGE3;dw2ms2ge;;;;MAGE01;;COMPS01;;;;650;bg2;;;OgreMage;false;;;;;Ogre Mage
OGRMAG01;GIANTHUMANOID;OGRE;OGRE_MAGE;OGRE_MAGE;None;;5;NIETHER;MALE;ENEMY;None;None;None;MAGE3;dw2ms2ge;;;;MAGE01;;COMPS01;;;;650;bg2;;;OgreMage;false;;;;;Ogre Mage
PLSHOM01;GIANTHUMANOID;OGRE;OGRE_MAGE;OGRE_MAGE;plshom01;plshom01;8;NIETHER;MALE;ENEMY;None;None;None;MAGE3;dw2ms2ge;;;;MAGE01;;COMPS01;;;;750;bg2;;;OgreMage;false;;;;;Ogre Mage
WIGENTLE;GIANTHUMANOID;OGRE;OGRE_MAGE;OGRE_MAGE;WIGENTLE;WIgent;5;NIETHER;MALE;NEUTRAL;WISIGHT;None;None;BPASIGHT;dw#mg141;;;;WIRING01;;SW1H01;;;;800;blackhearts;;;OgreMage;true;true;;;;The Gentleman
WIOGMA01;GIANTHUMANOID;OGRE;OGRE_MAGE;OGRE_MAGE;WIYONDAK;WIyondak;5;MALE;MALE;NEUTRAL;SHOUTDLG;None;None;BPASIGHT;dw#mg143;;;WIRING02;;;SW1H01;;;;800;blackhearts;;;OgreMage;true;true;;;;Yondak Master of Portals
YSOGREMA;GIANTHUMANOID;OGRE;OGRE_MAGE;OGRE_MAGE;NONE;;5;NIETHER;MALE;ENEMY;;;;;YSOGMAGE;;;;MAGE01;;SW1H43;;;;650;FISHINGFORTROUBLE;;;OgreMage;false;;;;;Ogre Mage
BDOGRE05;GIANTHUMANOID;OGRE;SHAMAN;OGRE_MAGE;BDOGRE05;;6;MALE;MALE;ENEMY;;BDENSHTV;;;BDSHM00;;;;;;BLUN01;;;;420;bg1;;;OgreShaman;true;true;true;true;;Ogre Shaman
D0QPSY07;GIANTHUMANOID;OGRE;OGRE_OGRILLON;OGRILLON;None;;2;MALE;MALE;ENEMY;None;None;None;None;dw2mc2ge;;;;;;B1-8;;;;175;D0QUESTPACK;;;Ogrillon;false;;;;;Sythillisian Soldier
GNARL;HUMANOID;OGRE;OGRE_OGRILLON;OGRILLON;Gnarl;gnarl;5;MALE;MALE;NEUTRAL;dw#gpsht;GNARL;None;None;dw1melge;;;;;;SW1H01;;;;175;bg1;;;Ogrillon;true;true;true;;;Gnarl
HAIRTO;HUMANOID;OGRE;OGRE_OGRILLON;OGRILLON;Hairtooth;hairto;5;MALE;MALE;NEUTRAL;dw#gpsht;HAIRTOTH;None;None;dw1melge;;;;;;B1-8;;;;175;bg1;;;Ogrillon;true;true;true;;;Hairtooth
BDKORDEO;GIANTHUMANOID;OGRE;OGRE_OGRILLON;OGRILLON;BDKORDEO;BDTOMB5;2;MALE;MALE;NEUTRAL;;BDENSHTV;BDSHTAUN;;BDFIG00;;;;;;B1-8;;;;175;bg1;;;Ogrillon;true;true;true;;;Ogrillon
OGREGR;GIANTHUMANOID;OGRE;OGRE_OGRILLON;OGRILLON;None;;2;NIETHER;MALE;ENEMY;dw#gpsht;None;None;None;dw1melge;;;;;;B1-8;;;;175;bg1;;;Ogrillon;true;true;true;true;;Ogrillon
OGREGR_A;GIANTHUMANOID;OGRE;OGRE_OGRILLON;OGRILLON;None;;2;NIETHER;MALE;ENEMY;None;None;None;None;dw1melge;;;;;;B1-8;;;;175;bg1;;;Ogrillon;true;true;true;true;;Ogrillon
OGREGR_B;GIANTHUMANOID;OGRE;OGRE_OGRILLON;OGRILLON;None;;2;NIETHER;MALE;ENEMY;dw#gpsht;None;None;None;dw1melge;;;;;;B1-8;;;;175;bg1;;;Ogrillon;true;true;true;true;;Ogrillon
OGREGR_C;GIANTHUMANOID;OGRE;OGRE_OGRILLON;OGRILLON;None;;2;NIETHER;MALE;ENEMY;dw#gpsht;None;None;None;dw1melge;;;;;;B1-8;;;;175;bg1;;;Ogrillon;true;true;true;true;;Ogrillon
OGREGR_D;GIANTHUMANOID;OGRE;OGRE_OGRILLON;OGRILLON;None;;2;NIETHER;MALE;ENEMY;dw#gpsht;None;None;None;dw1melge;;;;;;B1-8;;;;175;bg1;;;Ogrillon;true;true;true;true;;Ogrillon
OGREGR1;GIANTHUMANOID;OGRE;OGRE_OGRILLON;OGRILLON;None;;2;NIETHER;MALE;ENEMY;None;None;None;None;dw1melge;;;;;;B1-8;;;;175;bg1;;;Ogrillon;true;true;true;true;;Ogrillon
OGREGR2;GIANTHUMANOID;OGRE;OGRE_OGRILLON;OGRILLON;None;;2;NIETHER;MALE;ENEMY;None;None;None;None;dw1melge;;;;;;B1-8;;;;175;bg1;;;Ogrillon;true;true;true;true;;Ogrillon
OGREGR3;GIANTHUMANOID;OGRE;OGRE_OGRILLON;OGRILLON;None;;2;NIETHER;MALE;ENEMY;None;None;None;None;dw1melge;;;;;;B1-8;;;;175;bg1;;;Ogrillon;true;true;true;true;;Ogrillon
OGREGR4;GIANTHUMANOID;OGRE;OGRE_OGRILLON;OGRILLON;None;;2;NIETHER;MALE;ENEMY;None;None;None;None;dw1melge;;;;;;B1-8;;;;175;bg1;;;Ogrillon;true;true;true;true;;Ogrillon
OGRELESU;GIANTHUMANOID;OGRE;OGRE_OGRILLON;OGRILLON;None;;3;SUMMONED;MALE;CONTROLLED;None;None;None;None;BDSUM00;;;;;;B1-8;;;;0;bg1;true;;Ogrillon;true;true;true;true;bg1;Ogrillon
OGRELESU;GIANTHUMANOID;OGRE;OGRE_OGRILLON;OGRILLON;None;;3;SUMMONED;MALE;CONTROLLED;ogrelesu;None;None;None;BDSUM00;;;;;;B1-8;;;;0;bg2;true;;Ogrillon;true;true;true;;bg2;Ogrillon
OGREMIRI;GIANTHUMANOID;OGRE;OGRE_OGRILLON;OGRILLON;None;;2;NIETHER;MALE;ENEMY;dw#gpsht;None;None;None;dw1melge;;;;;;B1-8;;;;175;bg1;;;Ogrillon;true;true;true;true;;Ogrillon
SEWERF1;GIANTHUMANOID;OGRE;OGRE_OGRILLON;OGRILLON;SEWERF1;sewerf;2;NIETHER;MALE;NEUTRAL;dw#gpsht;None;None;None;dw1melge;;;;;;B1-8;;;;175;bg1;;;Ogrillon;true;true;true;true;;Sewerfolk
OGRILL01;GIANTHUMANOID;OGRE;OGRE_OGRILLON;OGRILLON;None;;2;MALE;MALE;ENEMY;None;None;None;None;dw2mc2ge;;;;;;B1-8;;;;175;bg2;;;Ogrillon;false;;;;;Ogrillon
JELOLI01;MONSTER;SLIME;OLIVE_SLIME;SLIME_OLIVE;jeloli01;;6;NIETHER;MALE;ENEMY;None;None;;None;dw2mc2mo;;;RING95;;;JELLOL1;;;;420;ub;;;OliveSlimeCreature;false;;;;;Olive Slime
SCHLUM;MONSTER;SLIME;NO_CLASS;SLIME_OLIVE;SCHLUMPSA;SCHLUM;2;NIETHER;MALE;NEUTRAL;dw#gpsht;SCHLUM;None;None;dw1ranmo;;;IMMUNE1;RING95;;SCHLUM1;DW#SCHLU;;;2500;bg1;;;OliveSlimeCreature;true;;true;true;bg1;Schlumpsha the Sewer King
SCHLUM;MONSTER;SLIME;MAGE;SLIME_OLIVE;SCHLUMPSA;schlum;2;NIETHER;MALE;NEUTRAL;SHOUT;SCHLUM;None;None;dw2rm2mo;;;IMMUNE1;RING95;;SCHLUM1;;;;2500;bg2;;;OliveSlimeCreature;true;;true;true;bg2;Schlumpsha the Sewer King
SPIDPHAS;MONSTER;SPIDER;SPIDER_PHASE;SPIDER_PHASE;None;;5;NIETHER;158;ENEMY;dw#gpshm;PSPIDER;None;None;;;;;;ANTIWEB;SPIDPH1;;;;4000;bg1;;;PhaseSpider;true;;true;true;;Astral Phase Spider
AC#W30SP;MONSTER;SPIDER;SPIDER_PHASE;SPIDER_PHASE;None;;5;NIETHER;MALE;ENEMY;PSPIDER;AC#W30FO;None;None;dw2mp2mo;;;;;ANTIWEB;SPIDPH1;;;;1400;GODCALL;;;PhaseSpider;false;;;;;Phase Spider
AC#WSTWS;MONSTER;SPIDER;SPIDER_PHASE;SPIDER_SWORD;AC#WSTWS;;1;NIETHER;MALE;ENEMY;AC#WSTWS;None;None;None;dw2mp2mo;;;;;ANTIWEB;AC#WSTWS;;;;2700;GODCALL;;;PhaseSpider;false;;;;;Crotchweaver Spider
D9IDPH01;MONSTER;SPIDER;SPIDER_PHASE;SPIDER_PHASE;None;;5;EXTRA;MALE;ENEMY;d9dwctyz;PSPIDER;None;None;dw2mp2mo;;;;;ANTIWEB;SPIDPH1;;;;1400;butchery;;;PhaseSpider;false;;;;;Phase Spider
SPIDPH;MONSTER;SPIDER;SPIDER_PHASE;SPIDER_PHASE;None;;5;NIETHER;MALE;ENEMY;dw#gpshm;PSPIDER;None;None;;;;;;ANTIWEB;SPIDPH1;;;;1400;bg1;;;PhaseSpider;true;true;true;true;;Phase Spider
SPIDPHSU;MONSTER;SPIDER;SPIDER_PHASE;SPIDER_PHASE;None;;5;SUMMONED;MALE;ALLY;;None;None;None;DVMELEE;;;;;VERMTYPE;SPIDPHSU;;;;0;bg1,bg2;true;;PhaseSpider;true;true;;true;;Phase Spider
OHBMENA7;MONSTER;SPIDER;SPIDER_PHASE;SPIDER_PHASE;OHBMENA7;;5;NIETHER;MALE;NEUTRAL;;SPIDVO01;NONE;NONE;dw2mp2mo;;;MINHP1;;ANTIWEB;SPIDVO01;;;;2700;bg2;;;PhaseSpider;false;;;;;Vortex Spider
SENSPI01;MONSTER;SPIDER;SPIDER_PHASE;SPIDER_PHASE;senspi01;;18;NIETHER;MALE;ENEMY;senspi01;None;None;None;dw2ms2mo;HELMNOAN;;;;ANTIWEB;SENSPI01;;;;18700;bg2;;;PhaseSpider;false;;;;;Lashar'ra
SPIDPH01;MONSTER;SPIDER;SPIDER_PHASE;SPIDER_PHASE;None;;5;NIETHER;MALE;ENEMY;dw#sphlp;PSPIDER;None;None;dw2mp2mo;;;;;ANTIWEB;SPIDPH1;;;;1400;bg2;;;PhaseSpider;false;;;;;Phase Spider
SPIDVO01;MONSTER;SPIDER;SPIDER_PHASE;SPIDER_PHASE;None;;5;NIETHER;MALE;ENEMY;dw#sphlp;spidvo01;None;None;dw2mp2mo;;;;;ANTIWEB;SPIDVO01;;;;2700;bg2;;;PhaseSpider;false;;;;;Vortex Spider
SPSPID06;MONSTER;SPIDER;SPIDER_PHASE;SPIDER_PHASE;None;;5;NIETHER;MALE;NEUTRAL;dw#sphlp;ubspspid;;None;dw2mp2mo;;;;;ANTIWEB;SPIDPH1;;;;1400;bg2;;;PhaseSpider;false;;;;;Phase Spider
BSPLSPRT;DEAD;SPECTRE;SPECTRE;ELEMENTAL_AIR_SMALL;None;;8;NIETHER;MALE;ENEMY;GENSHT01;None;None;;dw1melmo;;;GHOST;;;ELAIRL;;;;2000;bst;;;;;;;;;Drowned Spirit
BDGHOSTF;UNDEAD;SPECTRE;SPECTRE;PEASANT_WOMAN_FIGHTER;BDGHOSTF;;10;FEMALE;FEMALE;NEUTRAL;;;SHOUT;BDGHOST;;;;BDRINGGH;;;BDGHOST;;;;4000;bg1;;;Ghost;;true;;;;Ghost
BDGHBRSU;ANIMAL;BEAR;SHAMAN;BEAR_POLAR;NONE;;9;SUMMONED;OTHER;CONTROLLED;SUMSHT02;NONE;CBEAR;NONE;;;;;;;B1-12M3;;;;0;bg1;true;;PolarBear;true;true;true;true;;Ghost Bear
KALDRAN;ANIMAL;BEAR;BEAR_POLAR;BEAR_POLAR;kaldran;;8;MALE;MALE;ENEMY;None;None;Kaldran;None;dw1ranmo;;;;;;KALDW1;B1-12;;;3000;bg1;;;PolarBear;true;true;true;true;;Kaldran the Bear
BEARPO01;ANIMAL;BEAR;BEAR_POLAR;BEAR_POLAR;None;;8;MALE;MALE;NEUTRAL;None;None;BEAR;hunter;dw2mc2mo;;;;;;BEARPO;;;;650;bg2;;;PolarBear;true;true;true;true;;Mountain Bear
D9ARPO01;ANIMAL;BEAR;BEAR_POLAR;BEAR_POLAR;None;;8;EXTRA3;MALE;ENEMY;d9dwctyz;None;BEAR;hunter;dw2mc2mo;;;;;;BEARPO;;;;650;butchery;;;PolarBear;true;true;true;true;;Mountain Bear
NTBEARPO;ANIMAL;BEAR;BEAR_POLAR;BEAR_POLAR;NTBearPo;;8;MALE;MALE;ENEMY;None;None;BEAR;None;dw1melmo;;;;;;B1-12;;;;225;NTOTSC;;;PolarBear;true;true;true;true;;Mountain Bear
OBSICE04;ANIMAL;BEAR;BEAR_POLAR;BEAR_POLAR;None;;8;MALE;MALE;NEUTRAL;None;None;BEAR;None;dw2mc2mo;;;;;;B1-12;;;;900;bg2;;;PolarBear;true;true;true;true;;Mountain Bear
BEARPO;ANIMAL;BEAR;BEAR_POLAR;BEAR_POLAR;bearpo;;8;MALE;MALE;NEUTRAL;None;None;BEAR;None;dw1melmo;;;;;;B1-12;;;;900;bg1;;;PolarBear;true;true;true;true;;Polar Bear
BEARPO1;ANIMAL;BEAR;BEAR_POLAR;BEAR_POLAR;JaredPbear;;8;MALE;MALE;ENEMY;None;None;BEAR;None;dw1melmo;;;;;;B1-12;;;;900;bg1;;;PolarBear;true;true;true;true;;Polar Bear
